item_name,taobao_price,my_import_with_tariff_prices,diff_myimport_and_taobao,my_wish_interest,my_price,import_taobao_ratio,my_earn,period
kanjo17/18,0,4223.5,0,1.3,5490.55,0,1277,15d
Revolt 87,6636,3820,1.737,1.3,4966,0.252,1146,15d
