0,kanjo17/18,"(2291.68, 293.28)  ",skis,70,83.0,"(2938, 376)","(2836.48, 363)   ","(3489, 446.47)",4223.5
1,Revolt 87,"(2619.95, 335.29)",skis,70,83.0,"(3266, 418)","(3166.93, 405.29) ","(3805, 487)",3820.0
2,Revolt88,"(2619.95606, 335.29)",skis,70,83.0,"(3268.5180600000003, 418.29)","(3166.93606, 405.29)","(3815.4980600000004, 488.29)","(4085.6475750000004, 522.8625000000001)"
